"동별(1)","동별(2)",항목,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4
"동대문구","휘경1동",계,781,649,470,395,203,791,651,467,401,206
"동대문구","휘경1동",한국인,779,644,469,394,202,789,646,466,400,205
"동대문구","휘경1동",등록외국인,2,5,1,1,1,2,5,1,1,1
"동대문구","휘경2동",계,1486,1143,893,601,328,1505,1145,915,594,329
"동대문구","휘경2동",한국인,1476,1139,893,601,328,1495,1141,915,594,329
"동대문구","휘경2동",등록외국인,10,4,-,-,-,10,4,-,-,-
"동대문구","이문1동",계,1092,705,586,522,302,1212,808,629,551,324
"동대문구","이문1동",한국인,1082,705,583,521,302,1201,808,626,550,324
"동대문구","이문1동",등록외국인,10,-,3,1,-,11,-,3,1,-
"동대문구","이문2동",계,1343,1040,859,656,332,1335,1050,867,651,330
"동대문구","이문2동",한국인,1338,1036,858,655,331,1330,1045,866,650,329
"동대문구","이문2동",등록외국인,5,4,1,1,1,5,5,1,1,1
"중랑구","소계",계,31162,21807,15563,10897,5473,31440,22155,15842,10823,5520
"중랑구","소계",한국인,31030,21759,15542,10895,5471,31315,22109,15821,10821,5518
"중랑구","소계",등록외국인,132,48,21,2,2,125,46,21,2,2
"중랑구","면목2동",계,1995,1347,1006,741,354,2018,1375,1024,733,360
"중랑구","면목2동",한국인,1983,1346,1004,741,354,2006,1374,1022,733,360
"중랑구","면목2동",등록외국인,12,1,2,-,-,12,1,2,-,-
"중랑구","면목4동",계,1479,1090,870,639,233,1468,1112,876,641,236
"중랑구","면목4동",한국인,1473,1086,869,639,232,1462,1108,875,641,235
"중랑구","면목4동",등록외국인,6,4,1,-,1,6,4,1,-,1
"중랑구","면목5동",계,1054,698,487,345,158,1058,711,502,338,159
"중랑구","면목5동",한국인,1053,696,486,345,158,1057,709,501,338,159
"중랑구","면목5동",등록외국인,1,2,1,-,-,1,2,1,-,-
"중랑구","면목본동",계,2573,1806,1324,946,446,2614,1817,1333,947,453
"중랑구","면목본동",한국인,2553,1802,1324,946,446,2595,1813,1333,947,453
"중랑구","면목본동",등록외국인,20,4,-,-,-,19,4,-,-,-
"중랑구","면목7동",계,1837,1329,970,628,285,1856,1331,999,615,285
"중랑구","면목7동",한국인,1826,1323,970,628,285,1845,1325,999,615,285
"중랑구","면목7동",등록외국인,11,6,-,-,-,11,6,-,-,-
"중랑구","면목3.8동",계,2183,1477,1081,742,374,2193,1506,1114,741,371
"중랑구","면목3.8동",한국인,2175,1475,1079,742,374,2184,1504,1112,741,371
"중랑구","면목3.8동",등록외국인,8,2,2,-,-,9,2,2,-,-
"중랑구","상봉1동",계,1886,1102,826,580,309,1909,1123,834,576,315
"중랑구","상봉1동",한국인,1883,1101,826,580,309,1906,1122,834,576,315
"중랑구","상봉1동",등록외국인,3,1,-,-,-,3,1,-,-,-
"중랑구","상봉2동",계,1257,949,642,463,210,1277,943,666,459,206
"중랑구","상봉2동",한국인,1251,946,639,463,210,1271,940,663,459,206
"중랑구","상봉2동",등록외국인,6,3,3,-,-,6,3,3,-,-
"중랑구","중화1동",계,1587,1148,781,515,259,1586,1177,784,522,263
"중랑구","중화1동",한국인,1580,1144,780,515,259,1580,1174,783,522,263
"중랑구","중화1동",등록외국인,7,4,1,-,-,6,3,1,-,-
"중랑구","중화2동",계,2191,1511,1045,824,403,2233,1553,1096,805,410
"중랑구","중화2동",한국인,2171,1504,1040,823,402,2216,1547,1091,804,409
"중랑구","중화2동",등록외국인,20,7,5,1,1,17,6,5,1,1
"중랑구","묵1동",계,2428,1826,1278,884,456,2466,1826,1294,876,460
"중랑구","묵1동",한국인,2423,1823,1278,884,456,2461,1823,1294,876,460
"중랑구","묵1동",등록외국인,5,3,-,-,-,5,3,-,-,-
"중랑구","묵2동",계,1449,1168,751,559,272,1443,1165,779,561,271
"중랑구","묵2동",한국인,1444,1161,751,558,272,1438,1158,779,560,271
"중랑구","묵2동",등록외국인,5,7,-,1,-,5,7,-,1,-
"중랑구","망우본동",계,3065,2003,1471,953,526,3060,2074,1477,945,524
"중랑구","망우본동",한국인,3055,2002,1466,953,526,3051,2073,1472,945,524
"중랑구","망우본동",등록외국인,10,1,5,-,-,9,1,5,-,-
"중랑구","망우3동",계,1457,1012,739,486,256,1461,1037,751,485,253
"중랑구","망우3동",한국인,1449,1011,739,486,256,1454,1036,751,485,253
"중랑구","망우3동",등록외국인,8,1,-,-,-,7,1,-,-,-
"중랑구","신내1동",계,2987,2058,1483,1022,585,3039,2099,1496,1011,612
"중랑구","신내1동",한국인,2980,2057,1482,1022,585,3033,2098,1495,1011,612
"중랑구","신내1동",등록외국인,7,1,1,-,-,6,1,1,-,-
"중랑구","신내2동",계,1734,1283,809,570,347,1759,1306,817,568,342
"중랑구","신내2동",한국인,1731,1282,809,570,347,1756,1305,817,568,342
"중랑구","신내2동",등록외국인,3,1,-,-,-,3,1,-,-,-
"성북구","소계",계,28731,20596,16112,12180,6515,28844,21022,16227,12036,6572
"성북구","소계",한국인,28610,20537,16077,12163,6507,28728,20966,16192,12018,6565
"성북구","소계",등록외국인,121,59,35,17,8,116,56,35,18,7
"성북구","성북동",계,1026,750,606,513,310,1028,754,607,509,313
"성북구","성북동",한국인,1006,745,600,506,309,1008,748,601,502,312
"성북구","성북동",등록외국인,20,5,6,7,1,20,6,6,7,1
"성북구","삼선동",계,1398,989,821,696,406,1420,992,824,686,411
"성북구","삼선동",한국인,1395,989,818,695,405,1417,992,821,685,410
"성북구","삼선동",등록외국인,3,-,3,1,1,3,-,3,1,1
"성북구","동선동",계,700,485,467,366,208,708,504,453,365,212
"성북구","동선동",한국인,696,480,466,364,207,704,499,452,362,211
"성북구","동선동",등록외국인,4,5,1,2,1,4,5,1,3,1
"성북구","돈암1동",계,1132,791,620,458,247,1127,811,621,449,248
"성북구","돈암1동",한국인,1132,791,620,458,247,1127,811,621,449,248
"성북구","돈암1동",등록외국인,-,-,-,-,-,-,-,-,-,-
"성북구","돈암2동",계,1450,996,705,532,307,1471,1007,720,516,317
"성북구","돈암2동",한국인,1447,995,703,532,307,1468,1006,718,516,317
