연도,자치구,동,은행수
2007,노원구,상계8동,2.0
2007,노원구,상계9동,12.0
2007,노원구,상계10동,8.0
2007,은평구,소계,49.0
2007,은평구,녹번동,3.0
2007,은평구,불광1동,4.0
2007,은평구,불광2동,2.0
2007,은평구,불광3동,1.0
2007,은평구,갈현1동,6.0
2007,은평구,갈현2동,2.0
2007,은평구,대조동,6.0
2007,은평구,응암1동,7.0
2007,은평구,응암2동,3.0
2007,은평구,응암4동,3.0
2007,은평구,역촌1동,3.0
2007,은평구,역촌2동,3.0
2007,은평구,신사1동,2.0
2007,은평구,증산동,1.0
2007,은평구,수색동,3.0
2007,서대문구,소계,66.0
2007,서대문구,충정로동,9.0
2007,서대문구,천연동,2.0
2007,서대문구,북아현1동,2.0
2007,서대문구,북아현2동,1.0
2007,서대문구,북아현3동,1.0
2007,서대문구,대신동,7.0
2007,서대문구,창천동,5.0
2007,서대문구,연희1동,9.0
2007,서대문구,연희2동,1.0
2007,서대문구,연희3동,2.0
2007,서대문구,홍제1동,2.0
2007,서대문구,홍제3동,4.0
2007,서대문구,홍제2동,1.0
2007,서대문구,홍제4동,3.0
2007,서대문구,홍은2동,2.0
2007,서대문구,홍은3동,3.0
2007,서대문구,남가좌1동,6.0
2007,서대문구,남가좌2동,2.0
2007,서대문구,북가좌1동,1.0
2007,서대문구,북가좌2동,3.0
2007,마포구,소계,101.0
2007,마포구,아현1동,3.0
2007,마포구,아현2동,2.0
2007,마포구,공덕1동,3.0
2007,마포구,공덕2동,10.0
2007,마포구,도화동,16.0
2007,마포구,용강동,4.0
2007,마포구,대흥동,8.0
2007,마포구,염리동,1.0
2007,마포구,신수동,2.0
2007,마포구,서강동,3.0
2007,마포구,서교동,15.0
2007,마포구,동교동,9.0
2007,마포구,합정동,3.0
2007,마포구,망원1동,2.0
2007,마포구,망원2동,3.0
2007,마포구,연남동,2.0
2007,마포구,성산1동,4.0
2007,마포구,성산2동,3.0
2007,마포구,상암동,8.0
2007,양천구,소계,84.0
2007,양천구,목1동,12.0
2007,양천구,목2동,3.0
2007,양천구,목3동,4.0
2007,양천구,목4동,4.0
2007,양천구,목5동,10.0
2007,양천구,목6동,4.0
2007,양천구,신월1동,4.0
2007,양천구,신월2동,2.0
2007,양천구,신월3동,1.0
2007,양천구,신월4동,1.0
2007,양천구,신월5동,1.0
2007,양천구,신월6동,2.0
2007,양천구,신월7동,2.0
2007,양천구,신정1동,16.0
2007,양천구,신정2동,2.0
2007,양천구,신정3동,4.0
2007,양천구,신정4동,4.0
2007,양천구,신정5동,4.0
2007,양천구,신정6동,2.0
2007,양천구,신정7동,2.0
2007,강서구,소계,76.0
2007,강서구,염창동,5.0
2007,강서구,등촌1동,9.0
2007,강서구,등촌2동,2.0
2007,강서구,화곡2동,1.0
2007,강서구,화곡3동,4.0
2007,강서구,화곡4동,3.0
2007,강서구,화곡본동,2.0
2007,강서구,화곡5동,2.0
2007,강서구,화곡6동,5.0
2007,강서구,화곡7동,2.0
2007,강서구,화곡8동,4.0
2007,강서구,가양1동,2.0
2007,강서구,가양2동,2.0
2007,강서구,발산1동,5.0
2007,강서구,발산2동,8.0
2007,강서구,공항동,10.0
2007,강서구,방화1동,4.0
2007,강서구,방화2동,4.0
2007,강서구,방화3동,2.0
2007,구로구,소계,76.0
2007,구로구,신도림동,4.0
2007,구로구,구로1동,2.0
2007,구로구,구로2동,2.0
2007,구로구,구로3동,21.0
2007,구로구,구로4동,3.0
2007,구로구,구로5동,6.0
2007,구로구,구로6동,2.0
2007,구로구,구로본동,12.0
2007,구로구,가리봉1동,1.0
2007,구로구,고척1동,3.0
2007,구로구,고척2동,3.0
2007,구로구,개봉2동,3.0
2007,구로구,개봉3동,3.0
2007,구로구,개봉본동,3.0
2007,구로구,오류1동,6.0
2007,구로구,오류2동,1.0
2007,구로구,수궁동,1.0
2007,금천구,소계,60.0
2007,금천구,가산동,23.0
2007,금천구,독산1동,5.0
2007,금천구,독산2동,3.0
2007,금천구,독산3동,4.0
2007,금천구,독산4동,3.0
2007,금천구,시흥1동,10.0
2007,금천구,시흥2동,3.0
2007,금천구,시흥3동,6.0
2007,금천구,시흥4동,2.0
2007,금천구,시흥5동,1.0
2007,영등포구,소계,164.0
2007,영등포구,영등포1동,1.0
2007,영등포구,영등포2동,17.0
2007,영등포구,여의동,87.0
2007,영등포구,당산1동,7.0
2007,영등포구,당산2동,8.0
2007,영등포구,도림1동,1.0
2007,영등포구,문래1동,8.0
2007,영등포구,문래2동,3.0
2007,영등포구,양평1동,6.0
2007,영등포구,양평2동,3.0
2007,영등포구,신길1동,1.0
2007,영등포구,신길2동,2.0
2007,영등포구,신길3동,5.0
2007,영등포구,신길4동,1.0
2007,영등포구,신길6동,2.0
2007,영등포구,신길7동,1.0
2007,영등포구,대림1동,1.0
2007,영등포구,대림2동,1.0
2007,영등포구,대림3동,9.0
2007,동작구,소계,63.0
2007,동작구,노량진1동,7.0
2007,동작구,노량진2동,2.0
2007,동작구,상도1동,4.0
2007,동작구,상도2동,3.0
2007,동작구,상도3동,3.0
2007,동작구,상도4동,1.0
2007,동작구,상도5동,3.0
2007,동작구,본동,1.0
2007,동작구,흑석1동,4.0
2007,동작구,흑석2동,1.0
2007,동작구,흑석3동,2.0
2007,동작구,사당1동,7.0
2007,동작구,사당2동,2.0
2007,동작구,사당3동,4.0
2007,동작구,대방동,7.0
2007,동작구,신대방1동,3.0
2007,동작구,신대방2동,9.0
2007,관악구,소계,64.0
2007,관악구,봉천본동,2.0
2007,관악구,봉천1동,4.0
2007,관악구,봉천3동,1.0
2007,관악구,봉천4동,5.0
2007,관악구,봉천5동,4.0
2007,관악구,봉천6동,7.0
2007,관악구,봉천7동,2.0
2007,관악구,봉천8동,2.0
2007,관악구,봉천10동,3.0
2007,관악구,봉천11동,6.0
2007,관악구,남현동,1.0
2007,관악구,신림본동,3.0
2007,관악구,신림1동,1.0
2007,관악구,신림2동,3.0
2007,관악구,신림3동,2.0
2007,관악구,신림4동,3.0
2007,관악구,신림5동,4.0
2007,관악구,신림7동,2.0
