acdnt_no,serial_no,acdnt_year,acdnt_dd_dc,dfk_dc,tmzon_div_1_dc,occrrnc_time_dc,x_crdnt,y_crdnt,legaldong_code,legaldong_name,acdnt_hdc,acdnt_dc,road_stle_dc,acdnt_gae_dc,acdnt_age_2_dc,dmge_vhcle_asort_dc,injury_dgree_2_dc,wrngdo_vhcle_asort_dc,lrg_violt_1_dc,wether_sttus_dc,rdse_sttus_dc,dprs_cnt,sep_cnt,slp_cnt,lat,lon
2024011600100205,2024007074,2024,2024년  1월,화요일,주간,12시,963532.0,1944962.0,1171010600,서울특별시 송파구,차대사람,차대사람 - 기타,단일로 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.503206497261736,127.08740302480359
2024011600100355,2024007220,2024,2024년  1월,화요일,주간,17시,949973.0,1942921.0,1162010200,서울특별시 관악구,차대사람,차대사람 - 기타,기타 - 기타,경상사고,65세 이상,보행자,경상,승용,안전운전불이행,맑음, 건조,0,0,1,37.48417507932843,126.93414196580561
2024011700100057,2024007459,2024,2024년  1월,수요일,주간,07시,959594.0,1961883.0,1132010700,서울특별시 도봉구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,맑음, 건조,0,0,1,37.65555580295347,127.0419165005662
2024011700100142,2024007541,2024,2024년  1월,수요일,주간,10시,958908.0,1956468.0,1129013600,서울특별시 성북구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,중상사고,65세 이상,보행자,중상,승용,보행자보호의무위반,맑음, 건조,0,1,0,37.6067190443509,127.03444410732192
2024011700100175,2024007570,2024,2024년  1월,수요일,주간,11시,944473.0,1947517.0,1147010200,서울특별시 양천구,차대사람,차대사람 - 횡단중,교차로 - 교차로부근,경상사고,65세 이상,보행자,경상,자전거,안전운전불이행,맑음, 건조,0,0,1,37.52528504343117,126.8715873001123
2024011700100223,2024007616,2024,2024년  1월,수요일,주간,13시,966174.0,1947400.0,1171010300,서울특별시 송파구,차대사람,차대사람 - 횡단중,단일로 - 기타,중상사고,65세 이상,보행자,중상,승합,보행자보호의무위반,맑음, 건조,0,1,0,37.52528189306982,127.1171816063796
2024011800100147,2024008117,2024,2024년  1월,목요일,주간,11시,956980.0,1951141.0,1114016200,서울특별시 중구,차대사람,차대사람 - 횡단중,단일로 - 기타,중상사고,65세 이상,보행자,중상,원동기,안전운전불이행,맑음, 건조,0,2,0,37.55861746708162,127.01291427132814
2024011800100261,2024008224,2024,2024년  1월,목요일,주간,15시,963105.0,1943995.0,1168011400,서울특별시 강남구,차대사람,차대사람 - 차도통행중,교차로 - 교차로안,사망사고,65세 이상,보행자,사망,승용,중앙선침범,맑음, 건조,1,0,0,37.494473539347844,127.08262060227598
2024011800100279,2024008241,2024,2024년  1월,목요일,주간,16시,958670.0,1962625.0,1132010600,서울특별시 도봉구,차대차,차대차 - 충돌,교차로 - 교차로안,경상사고,65세 이상,승용,경상,화물,신호위반,맑음, 건조,0,0,2,37.66220239597525,127.0313993817265
2024011800100305,2024008266,2024,2024년  1월,목요일,주간,17시,948099.0,1939144.0,1154510300,서울특별시 금천구,차대사람,차대사람 - 기타,단일로 - 기타,경상사고,65세 이상,보행자,경상,승합,안전운전불이행,맑음, 건조,0,0,1,37.45002864212159,126.91321220131023
2024011800100344,2024008305,2024,2024년  1월,목요일,야간,18시,964717.0,1944491.0,1171010500,서울특별시 송파구,차대사람,차대사람 - 횡단중,단일로 - 기타,중상사고,65세 이상,보행자,중상,이륜,안전운전불이행,맑음, 건조,0,1,0,37.499007230794064,127.10083234844612
2024011900100001,2024008488,2024,2024년  1월,금요일,야간,00시,960411.0,1954111.0,1123010400,서울특별시 동대문구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,중상사고,65세 이상,보행자,중상,이륜,안전운전불이행,맑음, 건조,0,1,0,37.58554077613338,127.05159950762742
2024011900100054,2024008539,2024,2024년  1월,금요일,주간,07시,950820.0,1942783.0,1162010100,서울특별시 관악구,차대사람,차대사람 - 횡단중,단일로 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.48297674357452,126.94373123257789
